The Core Computer Business (Pty) Ltd,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,,,,
Apple Reseller Program Price List,,,,
,,,,
,,,,
Effective from 18 June 2025,,,,
,,,,
Items in Red are on Promotion: Ends 30th June 2025 or While Stocks Last,,,,
,,,,
Due to the volatility of the Rand/US Dollar exchange rate please note that the prices published by Core Group may change without notice.,,,,
Should you wish to include these prices in customer quotations please note that the Core Group may not be able to honour the published prices.,,,,
EO&E,,,,
"The reseller is responsible for determining its own prices for the resale of products. Although Core may suggest retail prices, these are suggestions only and the reseller is entirely free to determine the actual prices at which products will be sold.",,,,
,ARP_P1,,,
,,,,
,ARP_P1,,"Wholesale
(ZAR Excl VAT)","RRP 
(ZAR Incl VAT)"
1 - CPU,,,,
DISPLAYS,,,,
MW0X3ZE/A,"13-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 16GB, 512GB SSD - SILVER",ACTIVE,21797,27699
MW103ZE/A,"13-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 16GB, 512GB SSD - STARLIGHT",ACTIVE,21797,27699
MW133ZE/A,"13-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 16GB, 512GB SSD - MIDNIGHT",ACTIVE,21797,27699
MC6V4ZE/A,"13-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 24GB, 512GB SSD - SKY BLUE",ACTIVE,25575,32499
MC654ZE/A,"13-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 24GB, 512GB SSD - SILVER",ACTIVE,25575,32499
MC6A4ZE/A,"13-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 24GB, 512GB SSD - STARLIGHT",ACTIVE,25575,32499
MC6C4ZE/A,"13-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 24GB, 512GB SSD - MIDNIGHT",ACTIVE,25575,32499
MC7A4ZE/A,"15-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 16GB, 256GB SSD - SKY BLUE",ACTIVE,21797,27699
MW1G3ZE/A,"15-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 16GB, 256GB SSD - SILVER",ACTIVE,21797,27699
MW1J3ZE/A,"15-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 16GB, 256GB SSD - STARLIGHT",ACTIVE,21797,27699
MW1L3ZE/A,"15-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 16GB, 256GB SSD - MIDNIGHT",ACTIVE,21797,27699
MC7C4ZE/A,"15-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 16GB, 512GB SSD - SKY BLUE",ACTIVE,25575,32499
MW1H3ZE/A,"15-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 16GB, 512GB SSD - SILVER",ACTIVE,25575,32499
MW1K3ZE/A,"15-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 16GB, 512GB SSD - STARLIGHT",ACTIVE,25575,32499
MW1M3ZE/A,"15-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 16GB, 512GB SSD - MIDNIGHT",ACTIVE,25575,32499
MC7D4ZE/A,"15-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 24GB, 512GB SSD - SKY BLUE",ACTIVE,29116,36999
MC6J4ZE/A,"15-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 24GB, 512GB SSD - SILVER",ACTIVE,29116,36999
MC6K4ZE/A,"15-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 24GB, 512GB SSD - STARLIGHT",ACTIVE,29116,36999
MC6L4ZE/A,"15-INCH MACBOOK AIR: APPLE M4 CHIP WITH 10-CORE CPU AND 10-CORE GPU, 24GB, 512GB SSD - MIDNIGHT",ACTIVE,29116,36999
2 - iPad,,,,
IPAD 10,,,,
MQ6W3HC/A,10.9-INCH IPAD WI-FI + CELLULAR 256GB - PINK,WHILE STOCKS LAST,9703,11999
IPAD AIR M2,,,,
MUWE3QA/A,11-INCH IPAD AIR WI-FI 128GB - STARLIGHT,WHILE STOCKS LAST,9703,11999
MUWL3QA/A,11-INCH IPAD AIR WI-FI 512GB - SPACE GREY,WHILE STOCKS LAST,15364,18999
MUWM3QA/A,11-INCH IPAD AIR WI-FI 512GB - BLUE,WHILE STOCKS LAST,15364,18999
MUWN3QA/A,11-INCH IPAD AIR WI-FI 512GB - STARLIGHT,WHILE STOCKS LAST,15364,18999
MUWQ3QA/A,11-INCH IPAD AIR WI-FI 1TB - SPACE GREY,WHILE STOCKS LAST,18599,22999
MUWR3QA/A,11-INCH IPAD AIR WI-FI 1TB - BLUE,WHILE STOCKS LAST,18599,22999
MUXD3QA/A,11-INCH IPAD AIR WI-FI + CELLULAR 128GB - SPACE GREY,WHILE STOCKS LAST,12129,14999
MUXN3QA/A,11-INCH IPAD AIR WI-FI + CELLULAR 512GB - BLUE,WHILE STOCKS LAST,16173,19999
MUXU3QA/A,11-INCH IPAD AIR WI-FI + CELLULAR 1TB - STARLIGHT,WHILE STOCKS LAST,20216,24999
MV283QA/A,13-INCH IPAD AIR WI-FI 128GB - BLUE,WHILE STOCKS LAST,12938,15999
MV2L3QA/A,13-INCH IPAD AIR WI-FI 512GB - STARLIGHT,WHILE STOCKS LAST,17790,21999
MV2Q3QA/A,13-INCH IPAD AIR WI-FI 1TB - BLUE,WHILE STOCKS LAST,21833,26999
MV2R3QA/A,13-INCH IPAD AIR WI-FI 1TB - STARLIGHT,WHILE STOCKS LAST,21833,26999
MV6Q3QA/A,13-INCH IPAD AIR WI-FI + CELLULAR 128GB - SPACE GREY,WHILE STOCKS LAST,16173,19999
MV6T3QA/A,13-INCH IPAD AIR WI-FI + CELLULAR 128GB - STARLIGHT,WHILE STOCKS LAST,16173,19999
MV743QA/A,13-INCH IPAD AIR WI-FI + CELLULAR 1TB - SPACE GREY,WHILE STOCKS LAST,24260,29999
MV753QA/A,13-INCH IPAD AIR WI-FI + CELLULAR 1TB - BLUE,WHILE STOCKS LAST,24260,29999
MV763QA/A,13-INCH IPAD AIR WI-FI + CELLULAR 1TB - STARLIGHT,WHILE STOCKS LAST,24260,29999
IPAD MINI 6,,,,
MK7M3HC/A,IPAD MINI WI-FI 64GB - SPACE GREY,WHILE STOCKS LAST,7277,8999
IPAD MINI 7,,,,
MXN63QA/A,IPAD MINI WI-FI 128GB - SPACE GREY,ACTIVE,9460,11699
MXN73QA/A,IPAD MINI WI-FI 128GB - BLUE,ACTIVE,9460,11699
MXN83QA/A,IPAD MINI WI-FI 128GB - STARLIGHT,ACTIVE,9460,11699
MXN93QA/A,IPAD MINI WI-FI 128GB - PURPLE,ACTIVE,9460,11699
MXNA3QA/A,IPAD MINI WI-FI 256GB - SPACE GREY,ACTIVE,11320,13999
MXNC3QA/A,IPAD MINI WI-FI 256GB - BLUE,ACTIVE,11320,13999
MXND3QA/A,IPAD MINI WI-FI 256GB - STARLIGHT,ACTIVE,11320,13999
MXNE3QA/A,IPAD MINI WI-FI 256GB - PURPLE,ACTIVE,11320,13999
MXPN3QA/A,IPAD MINI WI-FI + CELLULAR 128GB - SPACE GREY,ACTIVE,12210,15099
MXPP3QA/A,IPAD MINI WI-FI + CELLULAR 128GB - BLUE,ACTIVE,12210,15099
MXPQ3QA/A,IPAD MINI WI-FI + CELLULAR 128GB - STARLIGHT,ACTIVE,12210,15099
MXPR3QA/A,IPAD MINI WI-FI + CELLULAR 128GB - PURPLE,ACTIVE,12210,15099
MXPT3QA/A,IPAD MINI WI-FI + CELLULAR 256GB - SPACE GREY,ACTIVE,14151,17499
MXPW3QA/A,IPAD MINI WI-FI + CELLULAR 256GB - BLUE,ACTIVE,14151,17499
MXPX3QA/A,IPAD MINI WI-FI + CELLULAR 256GB - STARLIGHT,ACTIVE,14151,17499
MXPY3QA/A,IPAD MINI WI-FI + CELLULAR 256GB - PURPLE,ACTIVE,14151,17499
MYGY3QA/A,IPAD MINI WI-FI 512GB - SPACE GREY,ACTIVE,15040,18599
MYH13QA/A,IPAD MINI WI-FI 512GB - BLUE,ACTIVE,15040,18599
MYH23QA/A,IPAD MINI WI-FI 512GB - STARLIGHT,ACTIVE,15040,18599
MYH33QA/A,IPAD MINI WI-FI 512GB - PURPLE,ACTIVE,15040,18599
MYHC3QA/A,IPAD MINI WI-FI + CELLULAR 512GB - SPACE GREY,ACTIVE,17871,22099
MYHD3QA/A,IPAD MINI WI-FI + CELLULAR 512GB - BLUE,ACTIVE,17871,22099
MYHE3QA/A,IPAD MINI WI-FI + CELLULAR 512GB - STARLIGHT,ACTIVE,17871,22099
MYHF3QA/A,IPAD MINI WI-FI + CELLULAR 512GB - PURPLE,ACTIVE,17871,22099
"IPAD PRO 11"" M2",,,,
MNXH3HC/A,11-INCH IPAD PRO WI-FI 512GB - SPACE GREY,WHILE STOCKS LAST,20216,24999
"IPAD PRO 11"" M4",,,,
MVV83QA/A,11-INCH IPAD PRO WIFI 256GB WITH STANDARD GLASS - SPACE BLACK,ACTIVE,19246,23799
MVV93QA/A,11-INCH IPAD PRO WIFI 256GB WITH STANDARD GLASS - SILVER,ACTIVE,19246,23799
MVVC3QA/A,11-INCH IPAD PRO WIFI 512GB WITH STANDARD GLASS - SPACE BLACK,ACTIVE,23127,28599
MVVD3QA/A,11-INCH IPAD PRO WIFI 512GB WITH STANDARD GLASS - SILVER,ACTIVE,23127,28599
MVVE3QA/A,11-INCH IPAD PRO WIFI 1TB WITH STANDARD GLASS - SPACE BLACK,ACTIVE,30729,37999
